gene,ctrl_1,ctrl_2,ctrl_3,trt_1,trt_2,trt_3
GENE0001,261,402,132,139,280,249
GENE0002,120,190,352,63,282,103
GENE0003,37,14,57,24,32,72
GENE0004,27,71,89,32,94,130
GENE0005,31,8,15,21,9,11
GENE0006,3214,6438,8669,2128,4291,3808
GENE0007,24,62,101,109,131,135
GENE0008,1851,2361,2651,1335,2180,3543
GENE0009,193,115,159,91,162,180
GENE0010,95,61,93,99,31,177
GENE0011,3515,5739,6041,3545,3426,4068
GENE0012,25,43,93,19,78,110
GENE0013,637,2204,993,494,1024,1604
GENE0014,222,359,570,123,383,485
GENE0015,80,99,127,93,167,267
GENE0016,123,169,282,105,132,257
GENE0017,17,23,59,6,36,7
GENE0018,30,271,111,103,114,299
GENE0019,616,1500,1269,879,1164,1193
GENE0020,40,167,292,156,220,344
GENE0021,356,662,762,529,668,669
GENE0022,146,461,499,141,446,446
GENE0023,485,305,604,421,545,538
GENE0024,124,199,174,134,159,435
GENE0025,57,150,150,82,96,291
GENE0026,912,823,1262,781,1604,1023
GENE0027,341,494,561,484,397,530
GENE0028,2,12,15,33,4,99
GENE0029,1943,1459,2232,1358,3642,1918
GENE0030,285,552,597,522,598,343
GENE0031,146,136,371,78,317,321
GENE0032,152,295,147,118,243,142
GENE0033,3643,4916,5850,3653,5119,6094
GENE0034,84,352,214,192,244,264
GENE0035,947,1941,2058,1223,1698,2156
GENE0036,8,12,20,18,32,16
GENE0037,31,125,84,52,58,100
GENE0038,224,674,750,548,860,592
GENE0039,79,23,116,46,27,182
GENE0040,95,475,155,109,217,716
GENE0041,855,1104,470,946,1091,1018
GENE0042,22,50,42,29,90,35
GENE0043,644,1017,1274,824,1310,1426
GENE0044,252,274,756,223,570,529
GENE0045,110,88,165,60,129,75
GENE0046,174,192,184,83,181,87
GENE0047,1885,2122,4905,1635,3955,1811
GENE0048,115,148,259,64,111,144
GENE0049,106,149,231,66,143,199
GENE0050,607,774,796,430,831,1195
GENE0051,7612,6053,10199,7084,11965,16568
GENE0052,481,637,1826,707,927,1365
GENE0053,22,70,79,46,38,84
GENE0054,163,563,623,171,331,292
GENE0055,235,144,239,84,282,178
GENE0056,87,233,187,62,258,144
GENE0057,184,367,570,125,158,293
GENE0058,3,12,16,5,7,17
GENE0059,973,1099,760,1012,1538,2166
GENE0060,39,60,81,44,57,161
GENE0061,549,993,607,202,544,829
GENE0062,6,4,20,6,14,29
GENE0063,109,118,175,134,173,203
GENE0064,158,393,108,166,180,366
GENE0065,3,0,6,1,0,4
GENE0066,0,0,2,1,0,0
GENE0067,47,31,26,39,25,101
GENE0068,36,201,310,178,163,132
GENE0069,630,812,1373,704,835,1084
GENE0070,167,283,325,89,230,307
GENE0071,564,454,818,580,740,564
GENE0072,14,119,117,33,62,41
GENE0073,27,26,30,24,99,29
GENE0074,331,641,648,198,240,467
GENE0075,10,24,21,7,18,13
GENE0076,24,55,17,37,2,31
GENE0077,1170,1471,884,671,1682,2090
GENE0078,11,58,45,9,38,27
GENE0079,64,95,45,43,83,62
GENE0080,24,200,146,68,145,123
GENE0081,34,29,107,40,42,85
GENE0082,11,5,7,3,10,15
GENE0083,263,371,213,230,426,544
GENE0084,858,2485,1869,1807,3298,3577
GENE0085,545,1018,1291,445,829,1333
GENE0086,15,2,13,20,33,3
GENE0087,41,15,41,16,48,35
GENE0088,30,147,45,59,204,85
GENE0089,50,130,117,73,112,253
GENE0090,11,48,24,19,35,52
GENE0091,40,68,175,50,90,63
GENE0092,17,99,115,67,74,99
GENE0093,53,29,47,41,105,106
GENE0094,1255,1193,1397,1035,1474,1047
GENE0095,151,130,266,132,238,382
GENE0096,3,11,24,1,2,6
GENE0097,55,47,76,49,102,71
GENE0098,3865,7550,6925,3493,6986,6772
GENE0099,106,109,270,155,100,142
GENE0100,427,403,896,353,516,1030
GENE0101,355,620,720,463,686,1239
GENE0102,85,91,231,52,129,46
GENE0103,25,97,217,59,76,226
GENE0104,52,73,29,43,54,195
GENE0105,719,1946,2498,1293,3250,2772
GENE0106,34,155,129,85,174,227
GENE0107,95,113,91,55,160,264
GENE0108,271,510,1263,260,716,663
GENE0109,18,4,6,6,9,4
GENE0110,1274,2402,1801,1204,3085,1234
GENE0111,545,1234,578,576,1135,1076
GENE0112,126,182,136,94,210,300
GENE0113,63,78,181,17,37,92
GENE0114,120,205,297,232,448,643
GENE0115,444,790,491,244,527,484
GENE0116,3,5,2,3,21,13
GENE0117,561,1612,1408,933,1570,1563
GENE0118,1210,2279,1878,1525,1350,2586
GENE0119,32,80,156,55,109,224
GENE0120,154,413,117,97,355,324
GENE0121,26,116,108,38,65,105
GENE0122,585,1069,1146,868,616,1206
GENE0123,56,63,78,30,86,49
GENE0124,20,26,61,19,56,65
GENE0125,217,462,515,523,368,513
GENE0126,31,44,41,18,15,22
GENE0127,3,12,4,2,3,24
GENE0128,161,155,193,120,80,308
GENE0129,3514,5070,8144,5040,4865,8047
GENE0130,365,428,994,323,478,656
GENE0131,212,361,359,116,222,219
GENE0132,91,192,91,190,456,195
GENE0133,42,23,67,65,48,156
GENE0134,35,190,301,33,93,136
GENE0135,37,26,110,4,17,14
GENE0136,308,299,340,311,557,402
GENE0137,231,703,459,202,369,1012
GENE0138,31,153,143,122,222,119
GENE0139,3,6,8,2,20,11
GENE0140,31,41,13,32,28,77
GENE0141,148,206,407,75,191,275
GENE0142,181,70,314,71,171,306
GENE0143,54,74,90,208,1079,937
GENE0144,1982,2199,5043,1622,1991,4087
GENE0145,34,14,22,12,61,54
GENE0146,162,175,356,191,309,212
GENE0147,252,470,434,243,611,631
GENE0148,105,197,240,49,183,370
GENE0149,841,574,828,639,711,2335
GENE0150,63,382,136,116,149,147
GENE0151,24,48,121,49,50,55
GENE0152,36,48,91,30,14,61
GENE0153,1138,805,1053,579,818,789
GENE0154,1,0,3,1,4,1
GENE0155,124,350,176,164,277,362
GENE0156,10,20,16,0,27,33
GENE0157,689,750,1386,748,1073,1001
GENE0158,1392,7348,2718,1499,2951,4311
GENE0159,63,172,114,72,116,198
GENE0160,1253,1840,1133,799,1899,1689
GENE0161,319,384,733,336,524,360
GENE0162,3294,5217,4710,2992,4729,6148
GENE0163,77,127,174,42,118,148
GENE0164,90,259,116,89,327,582
GENE0165,38,51,118,85,97,164
GENE0166,252,559,626,271,810,715
GENE0167,1211,2077,2113,1307,2518,1080
GENE0168,52,110,117,93,144,170
GENE0169,15042,18205,37268,10138,25608,20931
GENE0170,4891,7054,6315,2104,4460,7430
GENE0171,526,868,1013,478,583,1154
GENE0172,231,506,738,224,519,537
GENE0173,7,73,12,19,41,42
GENE0174,2,30,26,7,6,20
GENE0175,132,353,393,225,229,614
GENE0176,11,29,28,13,56,62
GENE0177,2,0,1,10,8,3
GENE0178,264,255,352,149,378,312
GENE0179,1432,1930,1571,1481,1844,3241
GENE0180,207,188,388,248,401,508
GENE0181,37,71,167,5,14,35
GENE0182,18,35,36,45,20,55
GENE0183,35,34,39,72,75,257
GENE0184,172,165,170,64,165,280
GENE0185,156,174,279,65,201,192
GENE0186,131,182,187,83,95,140
GENE0187,76,46,28,27,16,42
GENE0188,11,41,8,26,4,22
GENE0189,493,772,1088,509,1605,3093
GENE0190,3,1,0,1,5,9
GENE0191,3226,3256,3501,1479,2847,3701
GENE0192,13,35,11,23,21,69
GENE0193,13,6,51,23,32,80
GENE0194,1,2,9,2,2,3
GENE0195,355,477,494,273,644,703
GENE0196,568,1039,1781,674,770,2069
GENE0197,12,45,35,28,51,87
GENE0198,24,26,29,13,15,15
GENE0199,162,256,622,219,240,367
GENE0200,13,41,51,9,133,55
GENE0201,887,498,948,304,766,1009
GENE0202,296,241,288,281,327,331
GENE0203,10,28,61,9,34,53
GENE0204,123,48,104,56,75,95
GENE0205,1729,4844,4803,2830,4250,4292
GENE0206,40,124,94,45,71,73
GENE0207,30,105,87,90,195,138
GENE0208,53,43,92,10,32,46
GENE0209,48,84,135,41,141,183
GENE0210,209,178,335,66,94,103
GENE0211,28,61,141,27,79,80
GENE0212,31,16,74,31,82,67
GENE0213,341,797,1255,271,1024,781
GENE0214,35,87,119,35,64,26
GENE0215,232,457,389,71,119,120
GENE0216,91,72,113,26,112,43
GENE0217,5,28,16,14,6,9
GENE0218,815,1550,1984,773,1868,1970
GENE0219,35,93,39,57,37,88
GENE0220,295,591,690,353,752,772
GENE0221,1186,2440,2081,1215,2353,4139
GENE0222,243,167,500,265,449,507
GENE0223,89,51,24,25,74,43
GENE0224,148,136,170,104,171,350
GENE0225,187,297,235,140,309,314
GENE0226,136,152,180,156,106,164
GENE0227,531,334,742,98,203,240
GENE0228,413,368,443,373,367,723
GENE0229,18,80,54,75,30,106
GENE0230,3,8,22,1,4,6
GENE0231,456,864,1048,499,1317,1116
GENE0232,203,333,312,170,472,260
GENE0233,5130,6095,5863,5069,3200,7273
GENE0234,1,32,18,10,14,35
GENE0235,1429,2571,1774,2077,2216,4285
GENE0236,63,24,124,29,78,50
GENE0237,149,225,184,112,249,335
GENE0238,448,651,1151,696,1026,1231
GENE0239,314,600,342,336,744,278
GENE0240,77,146,91,58,106,100
GENE0241,55,114,128,37,99,104
GENE0242,169,124,127,100,170,231
GENE0243,625,1234,965,455,994,1355
GENE0244,193,221,243,138,356,284
