gene,mean_expression,log2_fold_change,p_value,adjusted_p_value,called
GENE1483,176.3636,-1.9662,0.000403967,0.417544,False
GENE0949,4977.8175,1.9794,0.000723401,0.417544,False
GENE0215,222.7433,-1.7555,0.00179977,0.417544,False
GENE0552,838.0705,-2.1129,0.00186435,0.417544,False
GENE1914,1041.2805,3.2439,0.00211497,0.417544,False
GENE1797,150.6219,-1.5294,0.00216818,0.417544,False
GENE1132,2465.7067,1.2593,0.00228196,0.417544,False
GENE0546,1261.0208,0.5863,0.00259422,0.417544,False
GENE0824,962.4819,-1.9397,0.00282637,0.417544,False
GENE0114,292.4011,0.8901,0.00290692,0.417544,False
GENE1723,40.2508,-1.8107,0.00301718,0.417544,False
GENE1141,549.4451,0.9617,0.00315258,0.417544,False
GENE1261,150.1930,-1.0074,0.00321257,0.417544,False
GENE0141,195.7364,-0.8350,0.00322691,0.417544,False
GENE0925,108.2123,-1.4459,0.00332066,0.417544,False
GENE1253,139.1755,-3.1459,0.00339467,0.417544,False
GENE1274,854.2002,0.4363,0.00374454,0.433486,False
GENE1402,728.2860,2.6664,0.00408631,0.446482,False
GENE0181,48.1922,-2.8345,0.00431054,0.446482,False
GENE0381,74.3984,1.9339,0.00673534,0.531208,False
GENE0529,1898.4688,-0.5256,0.00693849,0.531208,False
GENE1002,497.1977,-0.2648,0.00724804,0.531208,False
GENE1763,53.8966,0.6766,0.00768674,0.531208,False
GENE1843,19.2133,-1.6036,0.00783982,0.531208,False
GENE0328,3546.6977,2.2012,0.00787715,0.531208,False
GENE0143,347.9340,2.7672,0.00843829,0.531208,False
GENE0576,1074.3725,0.8398,0.00866833,0.531208,False
GENE0620,1385.0656,1.8451,0.00890296,0.531208,False
GENE0767,165.2919,2.1536,0.00908017,0.531208,False
GENE0048,130.9697,-0.8404,0.00915787,0.531208,False
GENE0701,20.8421,-2.8083,0.00952588,0.531208,False
GENE1871,1050.8393,-0.6570,0.00956154,0.531208,False
GENE0131,236.5064,-0.7908,0.0098252,0.531208,False
GENE0049,136.8252,-0.5033,0.00988414,0.531208,False
GENE0995,102.8518,0.6444,0.00993729,0.531208,False
GENE0135,31.7571,-2.5675,0.00997651,0.531208,False
GENE0230,6.2482,-1.6640,0.0102405,0.531208,False
GENE1745,1983.3734,1.9298,0.0106455,0.531208,False
GENE0513,15.0358,0.7678,0.0106705,0.531208,False
GENE0530,614.7814,2.7023,0.0109139,0.531208,False
GENE0360,228.3227,0.4821,0.0112219,0.531208,False
GENE1628,167.4780,-0.7981,0.011595,0.531208,False
GENE1173,2288.1679,-0.6785,0.0116067,0.531208,False
GENE0126,28.3845,-0.8842,0.0120022,0.536826,False
GENE0186,132.7164,-0.6074,0.0131379,0.574566,False
GENE1807,1048.8248,-0.2468,0.014524,0.605805,False
GENE0619,603.3223,1.2076,0.0146205,0.605805,False
GENE1133,129.4949,-1.8069,0.0147757,0.605805,False
GENE0587,256.7664,1.0455,0.0151771,0.609563,False
